,Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Sales_pu,Profit_pu
379,Standard Class,Consumer,Houston,Texas,77095,Central,Office Supplies,Storage,23.831999999999997,3,0.2,2.6811,7.943999999999999,0.8936999999999999
380,Standard Class,Consumer,Houston,Texas,77095,Central,Office Supplies,Binders,12.175999999999998,4,0.8,-18.8728,3.0439999999999996,-4.7182
381,First Class,Corporate,San Francisco,California,94109,West,Office Supplies,Paper,50.96,7,0.0,25.48,7.28,3.64
382,First Class,Corporate,San Francisco,California,94109,West,Office Supplies,Binders,49.536,3,0.2,17.3376,16.512,5.7791999999999994
383,Second Class,Corporate,Taylor,Michigan,48180,Central,Technology,Accessories,41.9,2,0.0,8.799,20.95,4.3995
384,Standard Class,Consumer,Pembroke Pines,Florida,33024,South,Furniture,Tables,375.4575,3,0.45,-157.0095,125.15249999999999,-52.3365
385,Standard Class,Consumer,Pembroke Pines,Florida,33024,South,Technology,Accessories,83.976,3,0.2,-1.0497,27.992,-0.34990000000000004
386,Standard Class,Corporate,Philadelphia,Pennsylvania,19140,East,Technology,Machines,482.34,4,0.7,-337.63800000000003,120.585,-84.40950000000001
387,Standard Class,Corporate,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,2.96,1,0.2,0.777,2.96,0.777
388,First Class,Consumer,Cincinnati,Ohio,45231,East,Office Supplies,Art,2.6239999999999997,1,0.2,0.4264,2.6239999999999997,0.4264
389,Standard Class,Consumer,New York City,New York,10009,East,Office Supplies,Binders,23.36,4,0.2,7.8839999999999995,5.84,1.9709999999999999
390,Standard Class,Consumer,New York City,New York,10009,East,Technology,Accessories,39.98,2,0.0,13.5932,19.99,6.7966
391,Second Class,Consumer,Des Moines,Washington,98198,West,Technology,Phones,246.38400000000001,2,0.2,27.7182,123.19200000000001,13.8591
392,Second Class,Consumer,Des Moines,Washington,98198,West,Technology,Copiers,1799.97,3,0.0,701.9883,599.99,233.99609999999998
393,Second Class,Corporate,Peoria,Illinois,61604,Central,Office Supplies,Binders,12.462,3,0.8,-20.5623,4.154,-6.8541
394,Standard Class,Home Office,Las Vegas,Nevada,89115,West,Office Supplies,Binders,75.792,3,0.2,25.5798,25.264,8.5266
395,Second Class,Corporate,Warwick,Rhode Island,2886,East,Office Supplies,Storage,49.96,2,0.0,9.4924,24.98,4.7462
396,Second Class,Corporate,Warwick,Rhode Island,2886,East,Office Supplies,Paper,12.96,2,0.0,6.2208,6.48,3.1104
397,Standard Class,Home Office,Jackson,Michigan,49201,Central,Office Supplies,Supplies,70.12,4,0.0,21.035999999999998,17.53,5.2589999999999995
398,Second Class,Consumer,Houston,Texas,77036,Central,Office Supplies,Storage,35.952,3,0.2,3.5952,11.984,1.1984000000000001
400,Second Class,Consumer,Houston,Texas,77036,Central,Office Supplies,Storage,131.136,4,0.2,-32.784,32.784,-8.196
401,Second Class,Consumer,Houston,Texas,77036,Central,Technology,Accessories,57.583999999999996,2,0.2,0.7198,28.791999999999998,0.3599
402,First Class,Consumer,Miami,Florida,33180,South,Office Supplies,Paper,9.568,2,0.2,3.4684,4.784,1.7342
403,Standard Class,Corporate,Wilmington,North Carolina,28403,South,Office Supplies,Art,39.071999999999996,6,0.2,9.767999999999999,6.512,1.628
404,Standard Class,Consumer,New York City,New York,10024,East,Office Supplies,Appliances,35.91,3,0.0,9.6957,11.969999999999999,3.2319
405,Standard Class,Consumer,San Francisco,California,94110,West,Technology,Accessories,179.95,5,0.0,37.7895,35.989999999999995,7.557899999999999
406,Standard Class,Consumer,San Francisco,California,94110,West,Technology,Copiers,1199.976,3,0.2,434.9913,399.992,144.99710000000002
407,Standard Class,Consumer,San Francisco,California,94110,West,Office Supplies,Paper,27.15,5,0.0,13.3035,5.43,2.6607
408,Standard Class,Consumer,San Francisco,California,94110,West,Furniture,Tables,1004.0239999999999,7,0.2,-112.9527,143.432,-16.1361
409,Standard Class,Consumer,San Francisco,California,94110,West,Office Supplies,Paper,9.68,1,0.0,4.6464,9.68,4.6464
410,Standard Class,Consumer,San Francisco,California,94110,West,Office Supplies,Labels,28.35,9,0.0,13.607999999999999,3.1500000000000004,1.5119999999999998
411,Standard Class,Consumer,San Francisco,California,94110,West,Office Supplies,Paper,55.98,1,0.0,27.4302,55.98,27.4302
412,Standard Class,Consumer,San Francisco,California,94110,West,Furniture,Bookcases,1336.829,13,0.15,31.4548,102.833,2.4196
413,Standard Class,Consumer,San Francisco,California,94110,West,Furniture,Chairs,113.568,2,0.2,-18.4548,56.784,-9.2274
414,Standard Class,Corporate,Seattle,Washington,98105,West,Office Supplies,Paper,139.86,7,0.0,65.7342,19.98,9.390600000000001
415,Standard Class,Corporate,Seattle,Washington,98105,West,Furniture,Chairs,307.13599999999997,4,0.2,26.8744,76.78399999999999,6.7186
416,Standard Class,Consumer,Huntington Beach,California,92646,West,Office Supplies,Art,95.92,8,0.0,25.8984,11.99,3.2373
417,Standard Class,Consumer,Los Angeles,California,90004,West,Furniture,Chairs,383.8,5,0.2,38.38,76.76,7.676
418,Standard Class,Corporate,Richmond,Kentucky,40475,South,Office Supplies,Paper,5.78,1,0.0,2.8322,5.78,2.8322
419,Standard Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Art,9.32,4,0.0,2.7028,2.33,0.6757
420,Standard Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Envelopes,15.25,1,0.0,7.015,15.25,7.015
421,First Class,Consumer,Louisville,Colorado,80027,West,Technology,Accessories,196.752,6,0.2,56.5662,32.792,9.4277
422,Standard Class,Corporate,Lawrence,Massachusetts,1841,East,Furniture,Furnishings,56.56,4,0.0,14.7056,14.14,3.6764
423,Standard Class,Corporate,Lawrence,Massachusetts,1841,East,Office Supplies,Storage,32.7,3,0.0,8.502,10.9,2.834
424,Second Class,Consumer,Jackson,Mississippi,39212,South,Furniture,Chairs,866.4,4,0.0,225.264,216.6,56.316
425,Second Class,Corporate,Canton,Michigan,48187,Central,Furniture,Furnishings,28.4,2,0.0,11.075999999999999,14.2,5.537999999999999
426,Second Class,Corporate,Canton,Michigan,48187,Central,Office Supplies,Binders,287.92,8,0.0,138.2016,35.99,17.2752
427,First Class,Home Office,New Rochelle,New York,10801,East,Technology,Machines,69.99,1,0.0,30.0957,69.99,30.0957
428,Standard Class,Corporate,San Antonio,Texas,78207,Central,Office Supplies,Art,6.672000000000001,6,0.2,0.5004,1.112,0.08339999999999999
429,Standard Class,Home Office,Gastonia,North Carolina,28052,South,Office Supplies,Binders,189.588,2,0.7,-145.3508,94.794,-72.6754
430,Standard Class,Home Office,Gastonia,North Carolina,28052,South,Technology,Accessories,408.744,7,0.2,76.6395,58.392,10.9485
431,Standard Class,Home Office,Gastonia,North Carolina,28052,South,Technology,Accessories,291.96,5,0.2,54.7425,58.391999999999996,10.9485
432,Standard Class,Home Office,Gastonia,North Carolina,28052,South,Office Supplies,Storage,4.768,2,0.2,-0.7748,2.384,-0.3874
433,First Class,Consumer,Lowell,Massachusetts,1852,East,Office Supplies,Storage,714.3,5,0.0,207.14700000000002,142.85999999999999,41.4294
434,Standard Class,Consumer,Jacksonville,Florida,32216,South,Office Supplies,Binders,4.812,2,0.7,-3.6892,2.406,-1.8446
435,Standard Class,Consumer,Jacksonville,Florida,32216,South,Technology,Accessories,247.8,5,0.2,-18.585,49.56,-3.717
436,Second Class,Home Office,Chicago,Illinois,60623,Central,Technology,Machines,1007.9789999999999,3,0.3,43.1991,335.993,14.399700000000001
437,Second Class,Home Office,Chicago,Illinois,60623,Central,Office Supplies,Paper,313.488,7,0.2,113.6394,44.784,16.234199999999998
438,Standard Class,Corporate,Houston,Texas,77070,Central,Office Supplies,Paper,31.872,8,0.2,11.5536,3.984,1.4442
439,Second Class,Corporate,New York City,New York,10024,East,Furniture,Chairs,207.84599999999998,3,0.1,2.3094,69.282,0.7698
440,Second Class,Consumer,Detroit,Michigan,48227,Central,Furniture,Furnishings,12.22,1,0.0,3.6660000000000004,12.22,3.6660000000000004
441,Second Class,Consumer,Detroit,Michigan,48227,Central,Office Supplies,Storage,194.94,3,0.0,23.3928,64.98,7.7976
442,Second Class,Consumer,Detroit,Michigan,48227,Central,Office Supplies,Storage,70.95,3,0.0,20.5755,23.650000000000002,6.8585
443,Second Class,Consumer,Detroit,Michigan,48227,Central,Office Supplies,Paper,91.36,4,0.0,42.0256,22.84,10.5064
444,Second Class,Consumer,Detroit,Michigan,48227,Central,Furniture,Chairs,242.94,3,0.0,29.1528,80.98,9.7176
445,Second Class,Consumer,Detroit,Michigan,48227,Central,Office Supplies,Labels,22.05,7,0.0,10.584000000000001,3.15,1.5120000000000002
446,Second Class,Consumer,Columbus,Indiana,47201,Central,Furniture,Furnishings,2.91,1,0.0,1.3677,2.91,1.3677
447,Second Class,Consumer,Auburn,New York,13021,East,Office Supplies,Art,59.52,3,0.0,15.4752,19.84,5.158399999999999
448,Second Class,Consumer,Auburn,New York,13021,East,Office Supplies,Storage,161.94,3,0.0,9.7164,53.98,3.2388
449,Second Class,Consumer,Auburn,New York,13021,East,Office Supplies,Art,263.88,6,0.0,71.2476,43.98,11.874600000000001
450,Second Class,Consumer,Auburn,New York,13021,East,Office Supplies,Art,30.48,3,0.0,7.9248,10.16,2.6416
451,Second Class,Consumer,Auburn,New York,13021,East,Office Supplies,Art,9.84,3,0.0,2.8536,3.28,0.9512
452,Second Class,Consumer,Auburn,New York,13021,East,Technology,Phones,35.12,4,0.0,9.1312,8.78,2.2828
453,Standard Class,Corporate,Akron,Ohio,44312,East,Furniture,Tables,284.36400000000003,2,0.4,-75.8304,142.18200000000002,-37.9152
454,Standard Class,Corporate,Akron,Ohio,44312,East,Office Supplies,Storage,665.408,2,0.2,66.5408,332.704,33.2704
455,Standard Class,Corporate,Norman,Oklahoma,73071,Central,Technology,Accessories,63.88,4,0.0,24.9132,15.97,6.2283
456,Standard Class,Consumer,Concord,California,94521,West,Furniture,Chairs,129.56799999999998,2,0.2,-24.294,64.78399999999999,-12.147
457,Standard Class,Consumer,Decatur,Illinois,62521,Central,Furniture,Chairs,747.558,3,0.3,-96.1146,249.186,-32.038199999999996
458,Standard Class,Consumer,Decatur,Illinois,62521,Central,Office Supplies,Envelopes,8.927999999999999,2,0.2,3.3480000000000003,4.4639999999999995,1.6740000000000002
459,Standard Class,Consumer,Seattle,Washington,98115,West,Office Supplies,Appliances,103.92,4,0.0,36.372,25.98,9.093
460,Standard Class,Consumer,Seattle,Washington,98115,West,Technology,Accessories,899.91,9,0.0,377.9622,99.99,41.9958
461,Standard Class,Consumer,Seattle,Washington,98115,West,Office Supplies,Binders,51.312,3,0.2,18.6006,17.104,6.2002
462,Standard Class,Home Office,Phoenix,Arizona,85023,West,Furniture,Furnishings,23.56,5,0.2,7.068,4.712,1.4136
464,Standard Class,Home Office,Phoenix,Arizona,85023,West,Office Supplies,Binders,28.485,5,0.7,-20.889,5.697,-4.1777999999999995
465,Standard Class,Home Office,Phoenix,Arizona,85023,West,Office Supplies,Supplies,185.37599999999998,2,0.2,-34.758,92.68799999999999,-17.379
466,Standard Class,Home Office,Phoenix,Arizona,85023,West,Office Supplies,Appliances,78.27199999999999,2,0.2,5.8704,39.135999999999996,2.9352
467,Standard Class,Home Office,Park Ridge,Illinois,60068,Central,Furniture,Furnishings,254.74400000000003,7,0.6,-312.0614,36.392,-44.5802
468,Standard Class,Corporate,Amarillo,Texas,79109,Central,Furniture,Bookcases,205.3328,2,0.32,-36.2352,102.6664,-18.1176
469,Second Class,Consumer,Chicago,Illinois,60610,Central,Office Supplies,Binders,4.788,3,0.8,-7.9002,1.596,-2.6334
470,Standard Class,Corporate,Lindenhurst,New York,11757,East,Office Supplies,Paper,55.48,1,0.0,26.6304,55.48,26.6304
471,Second Class,Consumer,San Francisco,California,94110,West,Office Supplies,Storage,340.92,3,0.0,3.4092,113.64,1.1363999999999999
472,Second Class,Consumer,San Francisco,California,94110,West,Furniture,Bookcases,222.666,2,0.15,10.4784,111.333,5.2392
473,Second Class,Consumer,San Francisco,California,94110,West,Technology,Phones,703.9680000000001,4,0.2,87.99600000000001,175.99200000000002,21.999000000000002
474,Second Class,Consumer,San Francisco,California,94110,West,Office Supplies,Storage,92.52,6,0.0,24.9804,15.42,4.1634
475,Second Class,Consumer,San Francisco,California,94110,West,Office Supplies,Paper,62.65,7,0.0,28.819000000000003,8.95,4.117
476,Second Class,Consumer,San Francisco,California,94110,West,Office Supplies,Paper,94.85,5,0.0,45.528,18.97,9.105599999999999
477,Standard Class,Corporate,Los Angeles,California,90008,West,Technology,Phones,95.76,6,0.2,7.182,15.96,1.197
478,Standard Class,Consumer,Troy,New York,12180,East,Furniture,Furnishings,40.2,3,0.0,19.296,13.4,6.4319999999999995
479,Standard Class,Corporate,New York City,New York,10024,East,Office Supplies,Art,14.7,5,0.0,6.615,2.94,1.323
480,Standard Class,Corporate,New York City,New York,10024,East,Office Supplies,Storage,704.25,5,0.0,84.51,140.85,16.902
481,Standard Class,Consumer,San Diego,California,92024,West,Technology,Accessories,9.09,3,0.0,1.9089,3.03,0.6363
482,Standard Class,Consumer,New York City,New York,10024,East,Office Supplies,Art,5.96,2,0.0,1.6688,2.98,0.8344
483,Standard Class,Consumer,New York City,New York,10024,East,Technology,Accessories,159.98,2,0.0,57.5928,79.99,28.7964
484,First Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Labels,29.6,2,0.0,14.8,14.8,7.4
485,First Class,Home Office,Los Angeles,California,90045,West,Furniture,Bookcases,514.165,5,0.15,-30.245,102.833,-6.049
486,First Class,Home Office,Los Angeles,California,90045,West,Technology,Phones,279.96,5,0.2,17.4975,55.992,3.4995
488,Second Class,Home Office,Huntsville,Texas,77340,Central,Technology,Phones,7.992000000000001,1,0.2,0.5994,7.992000000000001,0.5994
489,Second Class,Home Office,Huntsville,Texas,77340,Central,Technology,Accessories,63.983999999999995,2,0.2,10.3974,31.991999999999997,5.1987
490,Second Class,Home Office,Huntsville,Texas,77340,Central,Office Supplies,Art,70.368,2,0.2,6.1572,35.184,3.0786
491,Standard Class,Consumer,Rochester,New York,14609,East,Office Supplies,Storage,449.15,5,0.0,8.982999999999999,89.83,1.7965999999999998
492,Standard Class,Consumer,Rochester,New York,14609,East,Office Supplies,Envelopes,11.07,3,0.0,5.0922,3.69,1.6974
493,Standard Class,Consumer,Seattle,Washington,98115,West,Technology,Accessories,93.98,2,0.0,13.1572,46.99,6.5786
494,Second Class,Consumer,Memphis,Tennessee,38109,South,Furniture,Tables,189.882,3,0.4,-94.941,63.294000000000004,-31.647000000000002
495,Standard Class,Consumer,Fayetteville,Arkansas,72701,South,Office Supplies,Envelopes,105.42,2,0.0,51.6558,52.71,25.8279
496,Standard Class,Consumer,Costa Mesa,California,92627,West,Office Supplies,Binders,119.616,8,0.2,40.3704,14.952,5.0463
497,Standard Class,Consumer,Costa Mesa,California,92627,West,Furniture,Furnishings,255.76,4,0.0,81.8432,63.94,20.4608
498,Standard Class,Consumer,Costa Mesa,California,92627,West,Furniture,Chairs,241.56799999999998,2,0.2,18.1176,120.78399999999999,9.0588
499,Standard Class,Consumer,Costa Mesa,California,92627,West,Furniture,Furnishings,69.3,9,0.0,22.869,7.699999999999999,2.541
500,Standard Class,Corporate,Parker,Colorado,80134,West,Office Supplies,Binders,22.62,2,0.7,-15.08,11.31,-7.54
501,Standard Class,Corporate,Parker,Colorado,80134,West,Office Supplies,Binders,14.952,2,0.7,-11.9616,7.476,-5.9808
502,Standard Class,Corporate,Parker,Colorado,80134,West,Furniture,Chairs,801.568,2,0.2,50.098,400.784,25.049
503,Standard Class,Corporate,Parker,Colorado,80134,West,Office Supplies,Binders,2.376,3,0.7,-1.9008,0.7919999999999999,-0.6336
504,Standard Class,Corporate,Parker,Colorado,80134,West,Office Supplies,Paper,32.792,1,0.2,11.8871,32.792,11.8871
505,Second Class,Corporate,New York City,New York,10024,East,Office Supplies,Binders,15.92,5,0.2,5.372999999999999,3.184,1.0745999999999998
506,Standard Class,Consumer,Atlanta,Georgia,30318,South,Office Supplies,Art,2.74,1,0.0,0.7398,2.74,0.7398
507,Standard Class,Consumer,Atlanta,Georgia,30318,South,Office Supplies,Art,8.34,3,0.0,2.1684,2.78,0.7228
508,Standard Class,Consumer,Atlanta,Georgia,30318,South,Office Supplies,Storage,46.74,3,0.0,11.685,15.58,3.895
510,First Class,Consumer,Gladstone,Missouri,64118,Central,Furniture,Furnishings,126.3,3,0.0,40.416,42.1,13.472
511,First Class,Consumer,Gladstone,Missouri,64118,Central,Technology,Accessories,38.04,2,0.0,12.1728,19.02,6.0864
512,First Class,Consumer,Newark,Ohio,43055,East,Office Supplies,Art,7.152,3,0.2,0.7152,2.384,0.23839999999999997
513,Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,6.63,3,0.0,1.7901,2.21,0.5967
514,Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,5.88,2,0.0,1.7052,2.94,0.8526
516,Standard Class,Home Office,Great Falls,Montana,59405,West,Office Supplies,Storage,51.45,3,0.0,13.8915,17.150000000000002,4.6305000000000005
517,Standard Class,Home Office,Great Falls,Montana,59405,West,Office Supplies,Paper,11.96,2,0.0,5.382000000000001,5.98,2.6910000000000003
518,Standard Class,Home Office,Great Falls,Montana,59405,West,Office Supplies,Storage,1126.02,3,0.0,56.301,375.34,18.767
519,Standard Class,Consumer,Houston,Texas,77041,Central,Technology,Accessories,18.392,1,0.2,5.2877,18.392,5.2877
520,Standard Class,Consumer,Houston,Texas,77041,Central,Office Supplies,Storage,129.56799999999998,2,0.2,-25.9136,64.78399999999999,-12.9568
521,Standard Class,Consumer,Houston,Texas,77041,Central,Office Supplies,Binders,14.112,9,0.8,-21.168000000000003,1.568,-2.3520000000000003
522,First Class,Corporate,Detroit,Michigan,48234,Central,Furniture,Tables,210.98,2,0.0,21.098000000000003,105.49,10.549000000000001
523,First Class,Consumer,Los Angeles,California,90032,West,Technology,Phones,55.176,3,0.2,-12.4146,18.392,-4.1382
524,First Class,Consumer,Los Angeles,California,90032,West,Technology,Accessories,66.26,2,0.0,27.1666,33.13,13.5833
525,Standard Class,Consumer,Lawrence,Massachusetts,1841,East,Office Supplies,Fasteners,22.2,5,0.0,10.434000000000001,4.4399999999999995,2.0868
526,Standard Class,Home Office,Lakeland,Florida,33801,South,Furniture,Chairs,683.952,3,0.2,42.747,227.984,14.249
527,Standard Class,Home Office,Lakeland,Florida,33801,South,Furniture,Furnishings,45.696000000000005,3,0.2,5.1408,15.232000000000001,1.7135999999999998
528,Standard Class,Consumer,Philadelphia,Pennsylvania,19134,East,Office Supplies,Storage,36.336,3,0.2,-7.2672,12.112,-2.4224
529,Standard Class,Consumer,Philadelphia,Pennsylvania,19134,East,Office Supplies,Supplies,666.248,1,0.2,-149.9058,666.248,-149.9058
530,Standard Class,Consumer,Philadelphia,Pennsylvania,19134,East,Office Supplies,Envelopes,52.512,6,0.2,19.692,8.752,3.282
531,Second Class,Corporate,Los Angeles,California,90036,West,Furniture,Chairs,190.72,1,0.2,11.92,190.72,11.92
532,Standard Class,Consumer,Los Angeles,California,90032,West,Furniture,Furnishings,47.94,3,0.0,2.397,15.979999999999999,0.7989999999999999
533,Second Class,Consumer,Montgomery,Alabama,36116,South,Technology,Phones,979.95,5,0.0,274.38599999999997,195.99,54.877199999999995
534,Second Class,Consumer,Montgomery,Alabama,36116,South,Office Supplies,Binders,22.75,5,0.0,11.375,4.55,2.275
535,Standard Class,Consumer,Mesa,Arizona,85204,West,Office Supplies,Storage,16.768,2,0.2,1.4672,8.384,0.7336
536,Second Class,Consumer,Chicago,Illinois,60653,Central,Office Supplies,Binders,42.61600000000001,7,0.8,-68.1856,6.088000000000001,-9.740799999999998
537,Standard Class,Home Office,New York City,New York,10009,East,Office Supplies,Binders,10.752,4,0.2,3.36,2.688,0.84
538,Standard Class,Consumer,Henderson,Kentucky,42420,South,Office Supplies,Appliances,152.94,3,0.0,41.2938,50.98,13.7646
539,Standard Class,Consumer,Henderson,Kentucky,42420,South,Furniture,Chairs,283.92,4,0.0,70.98,70.98,17.745
540,First Class,Consumer,Green Bay,Wisconsin,54302,Central,Technology,Accessories,468.9,6,0.0,206.31599999999997,78.14999999999999,34.385999999999996
541,First Class,Corporate,Tucson,Arizona,85705,West,Technology,Phones,380.86400000000003,8,0.2,38.0864,47.608000000000004,4.7608
542,Standard Class,Consumer,Springfield,Ohio,45503,East,Office Supplies,Storage,646.776,9,0.2,-145.5246,71.86399999999999,-16.1694
543,Standard Class,Consumer,Fort Worth,Texas,76106,Central,Technology,Accessories,58.111999999999995,2,0.2,7.263999999999999,29.055999999999997,3.6319999999999997
544,Standard Class,Consumer,Fort Worth,Texas,76106,Central,Technology,Phones,100.792,1,0.2,6.2995,100.792,6.2995
545,Standard Class,Consumer,Fort Worth,Texas,76106,Central,Furniture,Furnishings,66.112,4,0.6,-84.2928,16.528,-21.0732
546,First Class,Home Office,New York City,New York,10035,East,Office Supplies,Binders,41.28,6,0.2,13.932,6.88,2.322
547,First Class,Home Office,New York City,New York,10035,East,Office Supplies,Paper,13.36,2,0.0,6.4128,6.68,3.2064
548,Second Class,Corporate,Chicago,Illinois,60653,Central,Office Supplies,Storage,250.27200000000002,9,0.2,15.642000000000001,27.808000000000003,1.7380000000000002
549,Second Class,Corporate,Chicago,Illinois,60653,Central,Office Supplies,Binders,11.364,3,0.8,-17.046,3.7880000000000003,-5.6819999999999995
550,Second Class,Corporate,Chicago,Illinois,60653,Central,Office Supplies,Supplies,8.72,5,0.2,-1.744,1.7440000000000002,-0.3488
551,Second Class,Consumer,San Francisco,California,94110,West,Furniture,Chairs,1121.568,2,0.2,0.0,560.784,0.0
552,First Class,Consumer,Jacksonville,Florida,32216,South,Furniture,Furnishings,34.504,1,0.2,6.0382,34.504,6.0382
553,Standard Class,Consumer,Houston,Texas,77070,Central,Office Supplies,Fasteners,10.824000000000002,3,0.2,2.5707,3.6080000000000005,0.8569
554,Second Class,Corporate,Anaheim,California,92804,West,Office Supplies,Storage,1295.78,2,0.0,310.9872,647.89,155.4936
555,Second Class,Consumer,Wilmington,North Carolina,28403,South,Office Supplies,Art,19.456,4,0.2,3.4048,4.864,0.8512
556,Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Labels,20.7,2,0.0,9.936,10.35,4.968
557,Standard Class,Consumer,Los Angeles,California,90045,West,Furniture,Tables,1335.68,4,0.2,-217.048,333.92,-54.262
558,Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,32.4,5,0.0,15.552,6.4799999999999995,3.1104
559,Second Class,Consumer,San Francisco,California,94110,West,Furniture,Furnishings,42.6,3,0.0,16.614,14.200000000000001,5.538
560,Second Class,Consumer,San Francisco,California,94110,West,Office Supplies,Binders,84.056,7,0.2,27.3182,12.008,3.9026
561,Second Class,Consumer,Tampa,Florida,33614,South,Office Supplies,Appliances,13.0,5,0.2,1.3,2.6,0.26
562,Second Class,Consumer,Tampa,Florida,33614,South,Furniture,Furnishings,13.128,3,0.2,3.7743,4.376,1.2581
563,First Class,Consumer,Seattle,Washington,98105,West,Office Supplies,Fasteners,3.96,2,0.0,0.0,1.98,0.0
564,First Class,Consumer,Seattle,Washington,98105,West,Office Supplies,Labels,2.61,1,0.0,1.2006,2.61,1.2006
565,First Class,Consumer,Los Angeles,California,90008,West,Technology,Phones,374.376,3,0.2,46.797,124.79199999999999,15.598999999999998
566,Standard Class,Corporate,Seattle,Washington,98105,West,Office Supplies,Paper,91.84,8,0.0,45.0016,11.48,5.6252
567,Standard Class,Corporate,Seattle,Washington,98105,West,Office Supplies,Binders,81.08800000000001,7,0.2,27.3672,11.584000000000001,3.9096
568,Standard Class,Corporate,Seattle,Washington,98105,West,Office Supplies,Paper,19.44,3,0.0,9.3312,6.48,3.1104000000000003
569,Standard Class,Corporate,Seattle,Washington,98105,West,Furniture,Chairs,451.152,3,0.2,0.0,150.384,0.0
570,Standard Class,Consumer,New York City,New York,10024,East,Office Supplies,Labels,72.45,7,0.0,34.775999999999996,10.35,4.967999999999999
571,Standard Class,Consumer,New York City,New York,10024,East,Office Supplies,Fasteners,13.96,4,0.0,6.4216,3.49,1.6054
572,Standard Class,Consumer,New York City,New York,10024,East,Office Supplies,Binders,33.264,7,0.2,11.2266,4.752000000000001,1.6038
573,Standard Class,Consumer,New York City,New York,10024,East,Technology,Phones,14.85,3,0.0,4.0095,4.95,1.3365
574,Standard Class,Consumer,Marysville,Washington,98270,West,Office Supplies,Art,8.82,3,0.0,2.3814,2.94,0.7938000000000001
575,Second Class,Consumer,Long Beach,California,90805,West,Office Supplies,Paper,160.72,14,0.0,78.7528,11.48,5.6251999999999995
576,Second Class,Consumer,Long Beach,California,90805,West,Office Supplies,Paper,19.92,4,0.0,9.7608,4.98,2.4402
577,Second Class,Consumer,Long Beach,California,90805,West,Office Supplies,Supplies,7.3,2,0.0,2.19,3.65,1.095
578,Standard Class,Consumer,Chicago,Illinois,60610,Central,Office Supplies,Storage,69.712,2,0.2,8.714,34.856,4.357
579,Standard Class,Consumer,Chicago,Illinois,60610,Central,Furniture,Furnishings,8.792,1,0.6,-5.7148,8.792,-5.7148
580,Standard Class,Consumer,Los Angeles,California,90004,West,Office Supplies,Supplies,51.52,4,0.0,1.5456,12.88,0.3864
581,Standard Class,Consumer,Denver,Colorado,80219,West,Technology,Phones,470.376,3,0.2,52.9173,156.792,17.6391
582,Standard Class,Consumer,Denver,Colorado,80219,West,Technology,Phones,105.584,2,0.2,9.2386,52.792,4.6193
583,Standard Class,Consumer,Denver,Colorado,80219,West,Office Supplies,Appliances,31.151999999999997,3,0.2,3.5046,10.383999999999999,1.1682
584,Standard Class,Consumer,Denver,Colorado,80219,West,Office Supplies,Binders,6.7829999999999995,7,0.7,-4.7481,0.969,-0.6783
585,Standard Class,Consumer,Denver,Colorado,80219,West,Technology,Phones,406.36800000000005,4,0.2,30.4776,101.59200000000001,7.6194
586,Standard Class,Consumer,Richmond,Kentucky,40475,South,Furniture,Chairs,70.98,1,0.0,4.9686,70.98,4.9686
587,Standard Class,Consumer,Richmond,Kentucky,40475,South,Office Supplies,Labels,294.93,3,0.0,144.5157,98.31,48.1719
588,Standard Class,Consumer,Salem,Oregon,97301,West,Technology,Phones,84.78399999999999,2,0.2,-20.1362,42.391999999999996,-10.0681
589,Standard Class,Consumer,Salem,Oregon,97301,West,Office Supplies,Paper,20.736,4,0.2,7.2576,5.184,1.8144
590,Standard Class,Consumer,Salem,Oregon,97301,West,Office Supplies,Binders,16.820999999999998,3,0.7,-12.8961,5.606999999999999,-4.2987
591,Standard Class,Consumer,Salem,Oregon,97301,West,Office Supplies,Paper,10.368,2,0.2,3.6288,5.184,1.8144
592,Standard Class,Consumer,Laredo,Texas,78041,Central,Office Supplies,Art,9.344,2,0.2,1.168,4.672,0.584
593,Standard Class,Consumer,Laredo,Texas,78041,Central,Technology,Accessories,31.2,3,0.2,9.75,10.4,3.25
594,Standard Class,Consumer,San Diego,California,92024,West,Office Supplies,Appliances,76.12,2,0.0,22.0748,38.06,11.0374
595,Standard Class,Consumer,San Diego,California,92024,West,Technology,Copiers,1199.976,3,0.2,434.9913,399.992,144.99710000000002
596,Standard Class,Consumer,San Diego,California,92024,West,Technology,Phones,445.96,5,0.2,55.745,89.192,11.149
597,Standard Class,Consumer,San Diego,California,92024,West,Furniture,Furnishings,327.76,8,0.0,91.7728,40.97,11.4716
598,First Class,Consumer,Philadelphia,Pennsylvania,19134,East,Office Supplies,Supplies,11.632,2,0.2,1.0178,5.816,0.5089
599,Standard Class,Consumer,Philadelphia,Pennsylvania,19120,East,Technology,Phones,143.982,3,0.4,-28.7964,47.994,-9.598799999999999
